ID,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
W9972,23.0,69,9.5,10.0,clear,1012.91,9,Spring,8.5,inland,Sunny
W501,29.0,82,18.0,78.0,overcast,991.54,3,Spring,4.0,inland,Rainy
W6418,36.0,48,3.5,11.0,partly cloudy,1024.92,10,Autumn,5.5,mountain,Sunny
W5603,32.0,35,5.5,9.0,partly cloudy,1010.24,6,Summer,9.0,coastal,Sunny
W483,23.0,23,3.5,8.0,clear,1027.69,5,Spring,6.5,mountain,Sunny
W6633,30.0,57,12.5,33.0,overcast,1002.2,1,Autumn,7.0,inland,Cloudy
W12077,28.0,65,1.5,20.0,partly cloudy,1007.0,4,Spring,8.5,mountain,Cloudy
W1911,29.0,96,11.5,79.0,partly cloudy,1013.23,0,Spring,1.0,inland,Rainy
W7358,35.0,63,8.0,3.0,clear,1029.83,10,Spring,5.0,mountain,Sunny
W5420,18.0,82,8.5,83.0,overcast,999.13,0,Summer,2.5,coastal,Rainy
W7485,8.0,90,1.5,70.0,partly cloudy,1011.19,10,Spring,7.5,mountain,Cloudy
W13175,19.0,65,2.5,20.0,partly cloudy,1016.81,1,Spring,8.0,inland,Cloudy
W4308,28.0,72,14.0,73.0,partly cloudy,1005.12,1,Summer,1.0,coastal,Rainy
W9170,40.0,94,15.0,97.0,clear,1021.59,3,Autumn,4.5,coastal,Sunny
W9821,15.0,61,11.0,63.0,overcast,1006.12,3,Spring,4.5,mountain,Rainy
W2949,26.0,90,26.0,88.0,partly cloudy,998.97,4,Summer,2.5,coastal,Rainy
W9718,26.0,67,11.0,74.0,overcast,993.37,1,Spring,1.5,inland,Rainy
W7086,5.0,21,14.5,17.0,cloudy,886.6,13,Autumn,0.5,coastal,Cloudy
W2517,41.0,50,8.5,6.0,partly cloudy,1017.27,9,Spring,6.0,inland,Sunny
